App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
Easy Notes 8,PHOTOGRAPHY,4.0,489076,92M,1000000+,Free,0.0,Everyone 10+,Arcade,"February 03, 2021",6.4.3,4.0 and up
Ultimate Browser 3,FAMILY,3.9,658013,28M,10000000+,Paid,0.0,Adults only 18+,Sports,"November 06, 2021",7.4.4,7.0 and up
Easy Scanner 8,COMMUNICATION,3.1,302939,4M,100000+,Paid,0.0,Everyone 10+,Educational,"March 26, 2021",1.1.4,8.0 and up
Cool Editor 8,PRODUCTIVITY,4.3,805123,22M,10000+,Free,0.0,Teen,Casual,"May 22, 2021",3.1.3,5.0 and up
Smart Tracker 6,PERSONALIZATION,2.7,967540,76M,1000000+,Free,0.0,Everyone 10+,Word,"August 07, 2021",4.3.3,9.0 and up
Cool Messenger 8,ENTERTAINMENT,4.6,366018,45M,100000000+,Free,4.99,Adults only 18+,Sports,"November 08, 2021",3.6.8,4.0 and up
Pro Camera 2,BUSINESS,1.3,933406,67M,10000+,Paid,0.0,Adults only 18+,Arcade,"March 20, 2021",5.3.1,4.0 and up
Perfect Calculator 6,TOOLS,4.8,833741,86M,10000+,Paid,0.99,Everyone 10+,Word,"June 27, 2021",2.4.6,7.0 and up
Ultimate Monitor 9,SPORTS,3.6,17083,66M,10000+,Free,0.0,Everyone 10+,Puzzle,"July 09, 2021",9.6.4,8.0 and up
Super Cleaner 3,FAMILY,2.5,888746,88M,100000+,Free,0.99,Everyone 10+,Simulation,"January 08, 2021",6.2.4,8.0 and up
Pro Notes 9,ENTERTAINMENT,1.8,554980,34M,1000+,Paid,0.0,Mature 17+,Strategy,"August 22, 2021",8.0.0,7.0 and up
Fantastic Player 3,FINANCE,2.9,753168,91M,1000000+,Paid,0.0,Adults only 18+,Sports,"April 03, 2021",7.4.4,4.0 and up
Easy Planner 7,BUSINESS,1.8,752264,55M,1000+,Paid,0.0,Adults only 18+,Card,"November 03, 2021",1.8.0,5.0 and up
Amazing Editor 9,TOOLS,1.7,910744,1M,1000+,Paid,2.99,Mature 17+,Puzzle,"June 13, 2021",5.9.8,4.0 and up
Pro Wallet 2,NEWS_AND_MAGAZINES,3.5,407515,72M,1000+,Free,0.0,Everyone 10+,Casual,"August 07, 2021",4.7.5,8.0 and up
Simple Planner 5,EDUCATION,3.1,115369,87M,10000+,Free,0.0,Teen,Trivia,"November 01, 2021",3.3.1,9.0 and up
Amazing Notes 7,FINANCE,3.7,925441,38M,10000000+,Free,9.99,Everyone 10+,Casual,"November 16, 2021",1.7.0,4.0 and up
Pro Manager 3,TOOLS,4.7,965844,6M,10000+,Free,49.99,Everyone 10+,Casino,"June 07, 2021",1.3.9,5.0 and up
Premium Assistant 4,NEWS_AND_MAGAZINES,3.1,66717,86M,10000+,Free,0.0,Mature 17+,Adventure,"December 23, 2021",6.8.0,6.0 and up
Amazing Manager 4,SOCIAL,3.3,251361,25M,100000000+,Paid,19.99,Adults only 18+,Puzzle,"September 27, 2021",7.9.4,4.0 and up
Amazing Camera 6,TOOLS,1.4,470680,82M,100000000+,Free,0.0,Everyone 10+,Casino,"November 10, 2021",8.6.3,7.0 and up
Simple Editor 6,SOCIAL,3.9,238521,17M,1000+,Paid,0.0,Adults only 18+,Educational,"May 01, 2021",4.5.5,6.0 and up
Ultimate Analyzer 2,DATING,2.6,235728,61M,10000+,Free,0.0,Everyone,Action,"February 04, 2021",9.4.7,7.0 and up
Simple Editor 8,EDUCATION,4.9,589726,12M,1000+,Paid,49.99,Adults only 18+,Card,"May 09, 2021",5.1.5,7.0 and up
Premium Manager 5,BUSINESS,4.3,50611,6M,100000000+,Free,19.99,Teen,Simulation,"November 17, 2021",9.2.0,7.0 and up
Perfect Recorder 2,SOCIAL,3.1,994979,90M,10000000+,Free,0.0,Teen,Action,"March 16, 2021",1.2.9,4.0 and up
HD Recorder 9,HEALTH_AND_FITNESS,1.5,395765,27M,1000000+,Free,0.0,Everyone 10+,Racing,"May 16, 2021",5.2.8,8.0 and up
Ultimate Converter 1,PHOTOGRAPHY,4.4,495489,8M,1000+,Free,0.0,Adults only 18+,Role Playing,"March 20, 2021",8.2.8,6.0 and up
Quick Browser 9,BUSINESS,4.2,635785,83M,10000000+,Paid,2.99,Everyone 10+,Word,"March 20, 2021",6.6.3,5.0 and up
Smart Calculator 8,FAMILY,1.7,678039,65M,1000000+,Paid,19.99,Mature 17+,Strategy,"January 24, 2021",4.1.4,8.0 and up
Smart Scanner 3,BUSINESS,2.2,464194,57M,100000+,Free,0.0,Teen,Educational,"April 23, 2021",8.6.6,4.0 and up
Super Manager 3,SOCIAL,4.2,413870,93M,1000+,Free,0.99,Everyone 10+,Educational,"February 18, 2021",6.2.4,7.0 and up
Fantastic Calculator 5,SOCIAL,1.7,411971,99M,1000+,Free,4.99,Mature 17+,Action,"June 14, 2021",1.6.8,5.0 and up
Simple Browser 9,GAME,4.7,251934,40M,100000+,Free,0.0,Everyone 10+,Puzzle,"February 15, 2021",1.1.2,6.0 and up
Pro Browser 9,FINANCE,2.7,783451,14M,100000+,Paid,0.0,Adults only 18+,Adventure,"June 27, 2021",3.7.6,8.0 and up
Smart Monitor 2,HEALTH_AND_FITNESS,1.3,814670,35M,1000+,Paid,0.0,Adults only 18+,Simulation,"February 04, 2021",6.9.9,9.0 and up
Super Translator 7,NEWS_AND_MAGAZINES,4.3,523404,48M,100000+,Free,0.0,Adults only 18+,Puzzle,"July 08, 2021",4.8.0,8.0 and up
Easy Player 3,BUSINESS,2.5,249440,84M,10000+,Paid,0.0,Adults only 18+,Action,"March 15, 2021",2.3.2,5.0 and up
Pro Manager 6,GAME,3.1,427747,56M,1000000+,Free,0.0,Everyone,Simulation,"September 02, 2021",1.4.6,4.0 and up
Best Tracker 1,NEWS_AND_MAGAZINES,1.4,122798,49M,1000000+,Paid,19.99,Mature 17+,Racing,"August 08, 2021",2.4.5,6.0 and up
Fantastic Player 3,PERSONALIZATION,1.0,621537,13M,1000000+,Free,0.0,Mature 17+,Strategy,"April 17, 2021",7.0.6,5.0 and up
Super Player 7,SOCIAL,3.6,551226,61M,10000+,Paid,0.0,Adults only 18+,Word,"January 02, 2021",4.7.3,7.0 and up
HD Wallet 7,SPORTS,3.1,280476,49M,100000+,Paid,0.0,Everyone,Strategy,"December 14, 2021",6.8.4,6.0 and up
Best Planner 3,SOCIAL,3.4,450940,46M,10000000+,Free,0.0,Adults only 18+,Puzzle,"September 02, 2021",4.7.8,8.0 and up
HD Browser 1,PRODUCTIVITY,4.2,350050,62M,100000+,Paid,0.0,Everyone,Board,"February 22, 2021",4.2.7,5.0 and up
Awesome Editor 5,MEDICAL,3.6,62302,8M,1000+,Free,0.0,Adults only 18+,Puzzle,"July 23, 2021",5.1.9,8.0 and up
Easy Browser 4,FINANCE,1.7,553353,43M,100000000+,Free,0.0,Teen,Casual,"September 06, 2021",9.2.1,8.0 and up
Ultimate Browser 3,LIFESTYLE,2.4,305045,20M,1000000+,Free,0.0,Teen,Role Playing,"August 27, 2021",1.7.2,8.0 and up
Magic Messenger 9,TOOLS,4.6,606210,97M,100000+,Paid,0.0,Everyone 10+,Casino,"June 02, 2021",7.0.0,4.0 and up
Cool Camera 4,SPORTS,4.1,661958,90M,10000000+,Paid,0.0,Adults only 18+,Trivia,"January 05, 2021",9.7.2,8.0 and up
Premium Scanner 7,SOCIAL,3.2,352690,39M,1000+,Paid,49.99,Mature 17+,Card,"September 24, 2021",6.2.3,7.0 and up
Pro Browser 1,HEALTH_AND_FITNESS,2.0,268458,85M,10000+,Paid,0.0,Everyone 10+,Role Playing,"April 21, 2021",1.4.0,7.0 and up
Super Notes 9,PRODUCTIVITY,2.2,531643,49M,10000+,Free,0.0,Teen,Puzzle,"May 22, 2021",1.9.6,6.0 and up
Fantastic Browser 6,PRODUCTIVITY,3.9,160382,64M,10000000+,Paid,29.99,Adults only 18+,Adventure,"March 05, 2021",6.1.1,9.0 and up
Smart Planner 5,SPORTS,4.4,941773,62M,1000+,Free,0.0,Everyone 10+,Strategy,"February 26, 2021",7.0.1,8.0 and up
Super Compass 8,LIFESTYLE,3.7,91016,54M,1000000+,Free,0.0,Adults only 18+,Sports,"January 11, 2021",8.5.1,8.0 and up
HD Planner 4,EDUCATION,4.2,932866,9M,100000+,Free,2.99,Teen,Role Playing,"January 16, 2021",7.3.1,5.0 and up
Super Assistant 4,MEDICAL,4.1,129360,88M,1000+,Paid,0.0,Everyone 10+,Strategy,"October 23, 2021",6.8.8,4.0 and up
Pro Browser 2,FAMILY,1.6,688735,37M,10000+,Paid,0.0,Teen,Simulation,"February 04, 2021",8.2.2,9.0 and up
Fantastic Assistant 5,TRAVEL_AND_LOCAL,2.7,805888,49M,10000000+,Free,9.99,Everyone,Adventure,"May 07, 2021",2.4.3,6.0 and up
Super Assistant 1,SOCIAL,1.6,788778,41M,10000000+,Free,2.99,Teen,Role Playing,"February 06, 2021",7.3.8,9.0 and up
Amazing Messenger 6,COMMUNICATION,1.9,848474,17M,100000+,Paid,1.99,Adults only 18+,Simulation,"January 07, 2021",2.5.6,8.0 and up
Easy Player 1,LIFESTYLE,4.5,206497,88M,10000000+,Free,0.0,Mature 17+,Trivia,"September 05, 2021",4.5.6,5.0 and up
Super Compass 2,FAMILY,2.9,97862,21M,10000000+,Paid,0.0,Teen,Puzzle,"May 20, 2021",4.7.8,4.0 and up
Cool Monitor 6,SOCIAL,3.1,492102,51M,1000+,Paid,0.0,Mature 17+,Simulation,"March 09, 2021",1.6.8,6.0 and up
Perfect Editor 7,TRAVEL_AND_LOCAL,1.7,138603,59M,1000000+,Free,0.0,Everyone,Arcade,"May 08, 2021",5.1.9,9.0 and up
Best Assistant 6,DATING,2.2,727077,39M,100000+,Free,0.0,Everyone 10+,Educational,"September 05, 2021",6.6.1,6.0 and up
Smart Player 4,PERSONALIZATION,1.9,678851,55M,1000+,Paid,0.0,Everyone 10+,Role Playing,"October 25, 2021",2.9.9,8.0 and up
Amazing Camera 6,DATING,1.8,280628,41M,1000000+,Paid,2.99,Mature 17+,Word,"February 09, 2021",1.3.6,6.0 and up
Best Translator 1,BUSINESS,3.6,177842,39M,1000+,Free,0.0,Everyone 10+,Trivia,"November 04, 2021",9.2.6,5.0 and up
Quick Camera 3,FAMILY,2.0,842160,13M,100000000+,Paid,0.0,Teen,Puzzle,"June 22, 2021",7.6.1,6.0 and up
Awesome Editor 3,SOCIAL,3.5,306783,64M,1000+,Free,0.0,Mature 17+,Educational,"June 02, 2021",6.1.5,7.0 and up
Simple Tracker 3,PHOTOGRAPHY,1.2,45242,11M,10000000+,Free,0.0,Adults only 18+,Word,"July 06, 2021",3.1.5,5.0 and up
Awesome Browser 4,NEWS_AND_MAGAZINES,1.6,348698,19M,1000000+,Paid,0.0,Teen,Board,"November 14, 2021",2.4.1,9.0 and up
Quick Calculator 8,FINANCE,2.1,460395,11M,100000+,Paid,0.0,Teen,Simulation,"January 18, 2021",3.2.5,4.0 and up
Perfect Browser 2,HEALTH_AND_FITNESS,3.4,783311,77M,100000+,Free,0.0,Teen,Action,"July 01, 2021",6.9.2,4.0 and up
Smart Calculator 9,LIFESTYLE,3.7,312823,46M,1000000+,Paid,0.0,Adults only 18+,Board,"January 01, 2021",3.0.6,8.0 and up
Quick Analyzer 7,PRODUCTIVITY,2.8,209103,45M,10000000+,Free,0.99,Everyone,Strategy,"August 04, 2021",8.1.3,8.0 and up
HD Cleaner 3,PERSONALIZATION,2.8,331338,1M,10000+,Free,4.99,Everyone 10+,Puzzle,"April 18, 2021",7.7.0,7.0 and up
Easy Translator 9,FAMILY,3.9,703315,40M,1000+,Free,0.0,Mature 17+,Adventure,"November 11, 2021",4.5.2,9.0 and up
Awesome Assistant 2,ENTERTAINMENT,1.1,13150,19M,10000000+,Paid,0.0,Everyone,Word,"November 01, 2021",5.9.8,4.0 and up
Super Translator 5,TOOLS,2.4,388622,76M,100000000+,Free,4.99,Mature 17+,Arcade,"December 10, 2021",3.4.7,4.0 and up
Cool Planner 9,MEDICAL,4.3,607755,72M,1000000+,Free,29.99,Everyone 10+,Racing,"September 23, 2021",6.3.7,4.0 and up
Fantastic Compass 3,SHOPPING,3.4,538655,72M,1000+,Free,0.0,Adults only 18+,Educational,"April 06, 2021",3.2.3,4.0 and up
Awesome Calculator 8,MEDICAL,2.3,523385,61M,100000+,Paid,19.99,Teen,Casino,"February 23, 2021",9.4.7,6.0 and up
Awesome Scanner 1,EDUCATION,4.6,111682,12M,10000+,Free,0.0,Teen,Word,"February 10, 2021",6.2.7,9.0 and up
Smart Editor 6,MEDICAL,4.1,330827,61M,100000000+,Paid,0.99,Adults only 18+,Educational,"August 24, 2021",9.7.3,5.0 and up
Smart Notes 3,DATING,2.1,645971,33M,100000+,Free,1.99,Everyone,Word,"January 13, 2021",6.0.3,5.0 and up
Perfect Tracker 9,COMMUNICATION,3.6,589931,45M,1000000+,Free,0.0,Everyone,Casual,"August 18, 2021",8.0.2,7.0 and up
Ultimate Analyzer 2,DATING,3.4,732313,90M,1000+,Free,0.99,Mature 17+,Strategy,"June 13, 2021",1.8.1,6.0 and up
Amazing Tracker 9,PRODUCTIVITY,2.6,620409,92M,1000000+,Paid,0.0,Adults only 18+,Sports,"January 05, 2021",9.3.1,4.0 and up
Awesome Calculator 4,GAME,2.5,864700,69M,1000+,Paid,2.99,Everyone,Sports,"November 07, 2021",4.9.5,4.0 and up
Super Wallet 5,EDUCATION,2.4,406150,8M,10000000+,Free,0.0,Adults only 18+,Card,"October 17, 2021",7.2.2,8.0 and up
Perfect Notes 8,EDUCATION,3.5,69296,25M,10000+,Free,0.99,Everyone 10+,Puzzle,"February 23, 2021",8.4.3,8.0 and up
Perfect Manager 7,TRAVEL_AND_LOCAL,2.8,93279,91M,10000000+,Free,0.0,Teen,Board,"June 19, 2021",7.6.8,7.0 and up
Fantastic Assistant 1,ENTERTAINMENT,4.3,258645,46M,10000000+,Free,0.0,Teen,Casino,"October 02, 2021",9.4.7,4.0 and up
Perfect Monitor 3,COMMUNICATION,3.7,74081,87M,1000000+,Free,0.0,Teen,Adventure,"October 04, 2021",1.8.7,7.0 and up
Magic Wallet 6,MEDICAL,1.3,450552,30M,10000+,Free,0.99,Adults only 18+,Trivia,"March 07, 2021",6.2.2,6.0 and up
Magic Recorder 3,PHOTOGRAPHY,3.6,221105,47M,1000+,Free,29.99,Adults only 18+,Adventure,"August 18, 2021",8.4.9,5.0 and up
Magic Manager 2,SHOPPING,2.1,513327,87M,1000+,Free,1.99,Mature 17+,Adventure,"October 07, 2021",7.4.7,4.0 and up
Cool Calculator 1,COMMUNICATION,3.4,30661,49M,100000000+,Free,2.99,Teen,Racing,"August 06, 2021",4.1.2,9.0 and up
Cool Translator 3,LIFESTYLE,3.7,70212,47M,100000+,Paid,0.0,Mature 17+,Casual,"June 26, 2021",8.6.1,6.0 and up
Awesome Tracker 1,SPORTS,1.9,48787,84M,100000000+,Free,0.0,Teen,Sports,"January 04, 2021",6.8.3,4.0 and up
Perfect Assistant 5,GAME,2.8,148076,82M,100000000+,Free,0.0,Mature 17+,Adventure,"January 20, 2021",9.1.1,9.0 and up
Magic Tracker 9,FINANCE,1.8,853705,18M,1000+,Paid,0.0,Mature 17+,Trivia,"February 11, 2021",9.6.6,8.0 and up
Cool Assistant 5,ENTERTAINMENT,1.2,190716,66M,1000000+,Free,0.0,Everyone 10+,Trivia,"May 26, 2021",1.5.6,7.0 and up
HD Tracker 1,ENTERTAINMENT,2.5,624456,68M,10000000+,Free,0.0,Mature 17+,Simulation,"September 27, 2021",6.5.1,8.0 and up
Awesome Calculator 3,HEALTH_AND_FITNESS,2.5,797242,94M,10000000+,Free,0.0,Adults only 18+,Trivia,"December 10, 2021",6.3.8,5.0 and up
Perfect Analyzer 9,SPORTS,5.0,824265,33M,10000000+,Free,0.0,Mature 17+,Sports,"March 24, 2021",1.7.4,8.0 and up
Simple Tracker 8,FAMILY,2.8,763945,36M,10000+,Free,0.0,Teen,Adventure,"March 06, 2021",1.3.0,4.0 and up
Premium Analyzer 6,TRAVEL_AND_LOCAL,2.3,326032,82M,1000+,Free,0.0,Mature 17+,Trivia,"April 24, 2021",6.1.4,9.0 and up
Easy Messenger 2,FAMILY,3.3,280862,19M,1000000+,Paid,9.99,Everyone,Puzzle,"November 06, 2021",7.1.5,8.0 and up
Simple Assistant 8,MEDICAL,1.4,668189,28M,10000+,Free,29.99,Teen,Casual,"August 01, 2021",6.4.4,4.0 and up
Super Planner 6,DATING,4.8,730275,40M,100000+,Free,9.99,Everyone,Role Playing,"June 17, 2021",3.9.9,5.0 and up
Perfect Browser 7,PHOTOGRAPHY,3.5,588168,84M,1000000+,Free,0.0,Teen,Arcade,"January 24, 2021",2.6.0,9.0 and up
Simple Tracker 2,SOCIAL,4.0,533581,97M,100000000+,Free,0.0,Adults only 18+,Arcade,"July 19, 2021",6.5.2,8.0 and up
Quick Recorder 7,PERSONALIZATION,1.7,685943,76M,1000000+,Free,29.99,Adults only 18+,Casual,"June 25, 2021",2.1.8,7.0 and up
Quick Editor 4,LIFESTYLE,2.6,865149,15M,1000000+,Paid,0.0,Adults only 18+,Card,"July 03, 2021",5.6.4,7.0 and up
Super Manager 3,ENTERTAINMENT,2.7,424159,41M,10000000+,Free,0.0,Everyone,Racing,"June 11, 2021",7.3.7,9.0 and up
Easy Converter 2,SPORTS,4.3,530072,39M,1000000+,Free,0.0,Everyone 10+,Strategy,"April 19, 2021",7.9.4,7.0 and up
Amazing Compass 9,SHOPPING,1.0,203137,2M,100000000+,Free,0.0,Teen,Strategy,"September 10, 2021",6.4.6,8.0 and up
Simple Assistant 4,FAMILY,2.2,142065,63M,100000000+,Free,0.0,Adults only 18+,Casino,"February 01, 2021",2.4.9,8.0 and up
Simple Camera 6,ENTERTAINMENT,4.9,620766,29M,1000+,Paid,0.0,Teen,Sports,"February 23, 2021",3.8.5,9.0 and up
Best Player 1,TRAVEL_AND_LOCAL,2.9,882776,74M,1000000+,Free,0.0,Everyone,Simulation,"October 17, 2021",3.6.3,8.0 and up
Smart Monitor 5,SHOPPING,2.5,804575,66M,10000000+,Free,0.0,Everyone 10+,Educational,"June 14, 2021",3.7.3,4.0 and up
Easy Editor 6,SPORTS,1.5,932453,51M,1000000+,Free,0.0,Everyone,Puzzle,"July 25, 2021",1.5.9,5.0 and up
Ultimate Notes 3,PHOTOGRAPHY,4.9,525079,75M,100000+,Paid,4.99,Teen,Action,"August 22, 2021",1.4.6,7.0 and up
Easy Manager 4,DATING,1.1,114596,77M,100000+,Free,0.0,Everyone 10+,Arcade,"March 24, 2021",6.1.3,4.0 and up
Perfect Recorder 2,COMMUNICATION,3.9,449926,10M,10000000+,Free,0.0,Everyone 10+,Role Playing,"July 19, 2021",2.0.2,9.0 and up
Pro Cleaner 3,ENTERTAINMENT,4.1,289778,14M,1000+,Paid,49.99,Everyone,Casual,"September 12, 2021",3.6.0,7.0 and up
Super Compass 7,NEWS_AND_MAGAZINES,2.0,531121,82M,1000+,Paid,0.0,Adults only 18+,Casino,"February 03, 2021",9.5.3,4.0 and up
Simple Player 5,TOOLS,3.7,542787,51M,100000000+,Free,0.0,Teen,Casual,"February 01, 2021",3.2.1,8.0 and up
Premium Planner 5,SHOPPING,1.4,171043,73M,100000000+,Free,0.0,Mature 17+,Educational,"April 21, 2021",2.9.4,9.0 and up
Super Calculator 2,FINANCE,2.0,512890,39M,10000+,Free,0.0,Mature 17+,Casino,"June 05, 2021",9.1.1,9.0 and up
Perfect Translator 9,HEALTH_AND_FITNESS,4.2,291272,28M,10000000+,Free,0.0,Everyone,Arcade,"January 19, 2021",6.9.1,7.0 and up
Smart Recorder 5,TOOLS,4.5,100427,3M,1000000+,Free,29.99,Teen,Adventure,"January 27, 2021",4.5.4,8.0 and up
Super Translator 7,PHOTOGRAPHY,3.4,81826,84M,10000000+,Free,0.0,Teen,Simulation,"May 21, 2021",1.5.0,7.0 and up
Perfect Player 6,GAME,3.0,677633,70M,10000+,Free,0.0,Everyone,Casual,"December 27, 2021",3.9.4,6.0 and up
Ultimate Tracker 3,FINANCE,1.6,275719,27M,100000000+,Free,0.0,Teen,Simulation,"June 08, 2021",5.9.5,4.0 and up
Cool Wallet 5,ENTERTAINMENT,1.3,675724,2M,10000000+,Free,0.0,Adults only 18+,Simulation,"October 16, 2021",8.4.0,6.0 and up
HD Assistant 4,FAMILY,1.5,174033,93M,10000000+,Paid,0.0,Everyone,Simulation,"December 01, 2021",5.2.3,4.0 and up
Cool Monitor 5,PHOTOGRAPHY,1.9,877621,38M,100000000+,Free,0.0,Adults only 18+,Role Playing,"April 10, 2021",8.6.4,5.0 and up
Easy Editor 1,DATING,2.4,547946,3M,10000+,Free,0.0,Teen,Action,"November 17, 2021",2.5.5,9.0 and up
Premium Player 7,COMMUNICATION,2.5,443955,16M,100000000+,Free,0.0,Everyone,Arcade,"September 27, 2021",6.8.7,7.0 and up
Simple Cleaner 6,EDUCATION,2.4,41981,94M,1000+,Paid,0.0,Teen,Simulation,"July 07, 2021",8.0.4,5.0 and up
Cool Editor 2,ENTERTAINMENT,2.0,18668,40M,1000000+,Free,0.0,Everyone,Role Playing,"December 21, 2021",7.5.4,5.0 and up
Awesome Cleaner 3,COMMUNICATION,3.0,21263,2M,100000000+,Free,19.99,Teen,Board,"July 12, 2021",8.2.5,9.0 and up
Simple Calculator 8,NEWS_AND_MAGAZINES,4.3,457392,81M,10000+,Free,0.0,Adults only 18+,Sports,"February 14, 2021",5.7.3,9.0 and up
Cool Recorder 4,BUSINESS,2.1,179645,41M,100000+,Free,0.0,Adults only 18+,Strategy,"April 14, 2021",8.9.1,4.0 and up
Perfect Translator 7,TRAVEL_AND_LOCAL,4.8,157472,12M,1000+,Free,0.0,Teen,Action,"July 19, 2021",9.8.9,6.0 and up
Amazing Assistant 4,DATING,4.5,350818,35M,100000+,Free,0.99,Everyone,Card,"February 10, 2021",6.3.3,8.0 and up
Smart Monitor 2,BUSINESS,1.6,706948,65M,100000000+,Free,0.0,Mature 17+,Racing,"February 17, 2021",6.4.5,4.0 and up
Fantastic Calculator 1,ENTERTAINMENT,4.1,210107,55M,1000+,Paid,0.0,Adults only 18+,Arcade,"May 12, 2021",7.6.8,8.0 and up
Ultimate Compass 5,TRAVEL_AND_LOCAL,3.3,628148,45M,1000000+,Free,4.99,Adults only 18+,Adventure,"June 22, 2021",8.5.5,5.0 and up
Pro Tracker 1,EDUCATION,3.3,950172,79M,100000000+,Free,1.99,Mature 17+,Trivia,"September 20, 2021",5.0.8,8.0 and up
Super Manager 2,SHOPPING,2.6,662222,90M,1000000+,Paid,0.0,Teen,Arcade,"January 22, 2021",9.8.7,6.0 and up
Ultimate Compass 2,LIFESTYLE,3.0,520508,85M,10000000+,Free,0.0,Everyone,Educational,"May 26, 2021",3.0.7,4.0 and up
Fantastic Assistant 8,PHOTOGRAPHY,2.6,226068,62M,100000+,Free,9.99,Teen,Word,"June 19, 2021",7.4.9,9.0 and up
Ultimate Cleaner 2,COMMUNICATION,3.2,657921,49M,1000+,Free,49.99,Everyone 10+,Casino,"February 06, 2021",7.9.3,6.0 and up
Fantastic Planner 7,PHOTOGRAPHY,3.5,858389,95M,1000000+,Free,49.99,Adults only 18+,Sports,"January 23, 2021",9.9.1,6.0 and up
Awesome Analyzer 8,SHOPPING,3.7,585299,25M,10000+,Paid,0.0,Everyone 10+,Strategy,"July 26, 2021",9.8.4,4.0 and up
Awesome Editor 5,TRAVEL_AND_LOCAL,3.1,180241,23M,1000000+,Paid,0.0,Adults only 18+,Casual,"July 15, 2021",1.6.9,9.0 and up
Quick Tracker 1,ENTERTAINMENT,3.9,122785,24M,10000+,Free,0.0,Adults only 18+,Simulation,"December 27, 2021",4.8.5,6.0 and up
Fantastic Translator 4,TRAVEL_AND_LOCAL,1.6,969221,38M,100000000+,Free,29.99,Everyone 10+,Casino,"October 01, 2021",3.5.9,9.0 and up
Amazing Assistant 7,LIFESTYLE,1.8,557541,28M,1000+,Paid,0.0,Everyone 10+,Casino,"April 13, 2021",6.4.1,7.0 and up
