App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
Awesome Browser 4,GAME,3.2,112792,96M,10000+,Free,0.0,Everyone,Trivia,"April 10, 2021",1.5.0,4.0 and up
Ultimate Camera 9,BUSINESS,2.6,627230,70M,10000000+,Free,0.0,Teen,Board,"May 20, 2021",3.5.2,4.0 and up
Super Player 7,COMMUNICATION,1.7,989420,55M,10000+,Paid,0.0,Everyone,Trivia,"August 04, 2021",8.4.1,7.0 and up
Super Editor 6,MEDICAL,2.1,927042,75M,100000000+,Free,19.99,Everyone 10+,Educational,"October 12, 2021",4.8.3,8.0 and up
Amazing Cleaner 5,SOCIAL,4.7,443326,33M,1000000+,Free,0.99,Mature 17+,Puzzle,"June 18, 2021",8.4.9,6.0 and up
Best Cleaner 1,ENTERTAINMENT,3.7,372023,62M,100000000+,Free,4.99,Everyone,Sports,"May 22, 2021",1.6.2,7.0 and up
Magic Camera 4,SPORTS,3.0,925693,88M,1000+,Free,0.0,Adults only 18+,Puzzle,"May 12, 2021",8.2.0,7.0 and up
Ultimate Notes 8,PRODUCTIVITY,1.1,310935,23M,100000+,Free,0.0,Mature 17+,Racing,"February 07, 2021",5.1.3,8.0 and up
HD Manager 5,PHOTOGRAPHY,5.0,186349,15M,1000+,Free,0.0,Adults only 18+,Board,"April 24, 2021",1.8.5,7.0 and up
Ultimate Converter 4,TRAVEL_AND_LOCAL,3.7,475605,27M,100000+,Free,0.0,Everyone,Action,"July 07, 2021",8.3.8,4.0 and up
Pro Recorder 2,NEWS_AND_MAGAZINES,2.3,417178,75M,1000000+,Free,0.0,Mature 17+,Word,"September 01, 2021",2.8.4,4.0 and up
Best Compass 3,PRODUCTIVITY,4.5,840240,64M,10000+,Free,0.0,Adults only 18+,Trivia,"October 06, 2021",6.2.3,9.0 and up
Awesome Editor 5,PRODUCTIVITY,2.0,98706,81M,100000000+,Free,0.0,Everyone 10+,Arcade,"June 22, 2021",6.6.0,5.0 and up
Awesome Scanner 8,COMMUNICATION,3.2,503660,51M,10000000+,Paid,2.99,Everyone 10+,Puzzle,"December 22, 2021",7.0.4,7.0 and up
Magic Camera 8,PERSONALIZATION,3.5,50949,53M,100000000+,Free,0.0,Everyone,Board,"December 10, 2021",6.1.9,5.0 and up
Easy Converter 8,GAME,1.9,815958,78M,1000000+,Free,29.99,Mature 17+,Card,"July 26, 2021",9.9.5,6.0 and up
Premium Analyzer 9,TOOLS,4.9,711896,91M,1000+,Free,0.0,Teen,Casual,"June 17, 2021",7.9.7,4.0 and up
Super Converter 8,SHOPPING,4.0,141531,82M,10000000+,Free,0.0,Mature 17+,Card,"March 18, 2021",1.7.3,9.0 and up
Pro Scanner 4,BUSINESS,3.2,574588,92M,10000+,Paid,0.0,Everyone 10+,Board,"June 24, 2021",8.5.8,6.0 and up
Perfect Editor 5,SPORTS,1.7,913130,51M,1000000+,Free,0.0,Adults only 18+,Trivia,"March 10, 2021",4.1.1,9.0 and up
Smart Player 8,COMMUNICATION,1.2,873103,47M,10000000+,Free,0.0,Teen,Adventure,"August 08, 2021",5.9.8,8.0 and up
HD Cleaner 1,GAME,2.3,335108,4M,1000000+,Free,0.0,Everyone,Trivia,"May 24, 2021",3.7.3,4.0 and up
Pro Planner 6,SHOPPING,4.0,809188,7M,1000000+,Free,0.0,Teen,Adventure,"June 21, 2021",6.9.5,6.0 and up
Fantastic Wallet 8,SPORTS,2.1,592288,35M,10000+,Free,0.0,Everyone,Sports,"September 07, 2021",3.4.2,8.0 and up
Quick Scanner 7,TOOLS,3.2,583108,48M,100000+,Free,0.0,Teen,Sports,"August 01, 2021",1.6.3,6.0 and up
Super Wallet 5,ENTERTAINMENT,3.9,642660,73M,10000000+,Free,29.99,Everyone,Board,"November 18, 2021",7.2.4,9.0 and up
Cool Wallet 4,TOOLS,1.4,476523,72M,10000+,Paid,0.0,Everyone,Racing,"August 25, 2021",5.1.9,8.0 and up
Magic Calculator 6,COMMUNICATION,3.7,146305,45M,1000000+,Free,49.99,Teen,Sports,"April 12, 2021",2.3.3,8.0 and up
Easy Compass 8,TOOLS,1.4,465463,81M,10000+,Paid,0.0,Teen,Racing,"October 27, 2021",4.5.1,4.0 and up
HD Converter 9,DATING,4.9,657967,81M,100000+,Paid,1.99,Everyone,Sports,"October 14, 2021",6.6.9,5.0 and up
Cool Planner 4,DATING,3.0,721047,97M,100000000+,Paid,4.99,Everyone 10+,Trivia,"September 20, 2021",3.7.1,9.0 and up
Quick Planner 3,COMMUNICATION,1.6,264813,96M,10000000+,Free,0.0,Teen,Puzzle,"October 10, 2021",8.4.1,9.0 and up
HD Notes 9,ENTERTAINMENT,2.4,86526,72M,100000+,Free,0.0,Mature 17+,Educational,"October 25, 2021",7.1.5,8.0 and up
Simple Scanner 6,ENTERTAINMENT,2.7,74577,19M,1000+,Paid,4.99,Adults only 18+,Arcade,"November 23, 2021",3.8.2,8.0 and up
Amazing Browser 2,FINANCE,4.0,801479,63M,10000000+,Free,0.0,Everyone,Word,"February 25, 2021",3.4.6,4.0 and up
Best Messenger 1,COMMUNICATION,4.0,126508,38M,100000+,Free,0.0,Everyone,Trivia,"April 08, 2021",8.6.8,5.0 and up
Perfect Scanner 3,SHOPPING,3.4,702108,67M,1000000+,Paid,0.0,Adults only 18+,Strategy,"July 07, 2021",5.9.2,9.0 and up
Magic Browser 4,EDUCATION,1.4,464904,59M,10000000+,Paid,9.99,Everyone 10+,Word,"August 01, 2021",6.4.3,7.0 and up
Magic Calculator 1,TRAVEL_AND_LOCAL,1.6,536407,69M,10000000+,Free,4.99,Adults only 18+,Puzzle,"May 02, 2021",2.6.4,7.0 and up
Ultimate Scanner 6,FAMILY,1.4,284164,13M,10000+,Free,0.0,Teen,Strategy,"February 15, 2021",4.7.8,5.0 and up
Simple Analyzer 5,PERSONALIZATION,3.3,795229,47M,1000000+,Free,0.0,Adults only 18+,Card,"January 05, 2021",9.2.2,6.0 and up
Super Browser 1,TOOLS,4.5,763770,61M,1000+,Paid,0.0,Everyone,Role Playing,"February 20, 2021",5.4.9,4.0 and up
Awesome Planner 1,SHOPPING,2.7,139554,31M,100000000+,Paid,0.0,Adults only 18+,Arcade,"March 19, 2021",2.0.7,5.0 and up
Awesome Manager 1,GAME,1.6,246193,80M,100000+,Free,29.99,Mature 17+,Card,"February 22, 2021",3.0.0,7.0 and up
Easy Calculator 7,PHOTOGRAPHY,3.2,678753,96M,10000+,Free,0.0,Teen,Sports,"February 14, 2021",2.5.5,8.0 and up
Fantastic Compass 1,FINANCE,4.2,323863,22M,100000+,Paid,0.0,Adults only 18+,Racing,"August 08, 2021",3.3.1,7.0 and up
Ultimate Translator 8,TOOLS,4.0,463011,93M,1000+,Free,0.0,Everyone,Sports,"December 21, 2021",2.6.0,8.0 and up
Fantastic Analyzer 1,TOOLS,4.5,768623,86M,1000+,Free,19.99,Teen,Board,"October 23, 2021",7.0.5,4.0 and up
Premium Compass 2,GAME,2.1,34528,43M,10000000+,Paid,0.0,Everyone,Educational,"April 17, 2021",3.7.5,8.0 and up
Amazing Assistant 2,DATING,1.8,53919,67M,1000+,Free,0.0,Everyone 10+,Sports,"November 02, 2021",2.7.4,5.0 and up
Premium Camera 3,HEALTH_AND_FITNESS,4.5,804793,54M,100000+,Free,0.0,Mature 17+,Simulation,"October 26, 2021",8.7.5,8.0 and up
HD Editor 1,TRAVEL_AND_LOCAL,3.6,724994,10M,1000000+,Free,0.0,Everyone 10+,Card,"April 01, 2021",2.7.5,6.0 and up
Smart Browser 3,COMMUNICATION,2.2,970844,42M,1000000+,Free,0.0,Mature 17+,Racing,"August 25, 2021",6.7.0,5.0 and up
Perfect Cleaner 3,PRODUCTIVITY,4.0,515703,64M,10000000+,Paid,0.0,Adults only 18+,Simulation,"April 10, 2021",2.8.7,4.0 and up
Premium Messenger 1,SHOPPING,4.3,539580,21M,100000000+,Free,0.0,Teen,Educational,"March 18, 2021",7.6.4,5.0 and up
Easy Analyzer 7,EDUCATION,3.5,478092,80M,100000+,Paid,1.99,Adults only 18+,Puzzle,"May 19, 2021",2.5.9,6.0 and up
Ultimate Manager 1,SPORTS,3.8,239027,76M,100000+,Free,1.99,Mature 17+,Board,"October 23, 2021",3.3.9,4.0 and up
Quick Tracker 8,FAMILY,2.5,415004,66M,1000+,Free,2.99,Mature 17+,Casual,"November 22, 2021",2.1.7,7.0 and up
Easy Manager 6,EDUCATION,3.2,941778,41M,100000+,Free,0.0,Mature 17+,Adventure,"January 12, 2021",8.9.5,6.0 and up
Quick Converter 5,LIFESTYLE,3.1,452901,24M,10000+,Free,2.99,Everyone,Casino,"August 02, 2021",5.7.3,4.0 and up
Fantastic Compass 1,ENTERTAINMENT,4.4,791517,35M,100000000+,Free,0.0,Teen,Educational,"May 25, 2021",4.4.0,8.0 and up
Pro Converter 8,SPORTS,4.4,469174,56M,1000+,Free,0.0,Adults only 18+,Simulation,"August 18, 2021",1.1.7,5.0 and up
Amazing Tracker 8,EDUCATION,4.3,703824,30M,10000+,Free,0.0,Adults only 18+,Casual,"September 16, 2021",7.9.8,4.0 and up
Premium Wallet 4,COMMUNICATION,1.0,28375,57M,10000000+,Free,0.0,Everyone 10+,Casual,"May 26, 2021",5.1.6,5.0 and up
Awesome Player 6,FINANCE,4.0,465992,94M,1000000+,Paid,0.0,Mature 17+,Educational,"June 13, 2021",8.6.6,8.0 and up
Cool Wallet 7,SHOPPING,4.0,441426,47M,10000000+,Free,0.0,Mature 17+,Word,"March 03, 2021",5.1.5,4.0 and up
Perfect Analyzer 7,SOCIAL,3.7,273156,35M,1000000+,Paid,0.0,Mature 17+,Casual,"October 08, 2021",4.9.1,7.0 and up
Simple Browser 1,SHOPPING,4.0,276101,19M,10000000+,Free,0.0,Adults only 18+,Card,"November 26, 2021",9.6.5,6.0 and up
Easy Compass 3,NEWS_AND_MAGAZINES,4.4,210304,8M,100000+,Free,0.0,Everyone 10+,Casual,"October 12, 2021",5.2.9,4.0 and up
Awesome Analyzer 2,EDUCATION,2.9,881282,26M,10000+,Free,0.0,Everyone,Sports,"February 11, 2021",4.2.7,8.0 and up
Super Converter 5,PRODUCTIVITY,3.0,116229,71M,1000000+,Free,0.0,Teen,Strategy,"December 18, 2021",3.6.6,4.0 and up
Awesome Scanner 2,BUSINESS,1.5,340764,30M,1000+,Free,2.99,Everyone,Racing,"May 22, 2021",7.6.1,5.0 and up
Fantastic Monitor 4,EDUCATION,2.5,838584,7M,10000+,Paid,29.99,Adults only 18+,Arcade,"December 02, 2021",3.9.8,9.0 and up
Cool Player 6,GAME,3.6,580605,67M,1000+,Paid,0.0,Mature 17+,Card,"May 07, 2021",3.1.8,4.0 and up
Perfect Planner 2,BUSINESS,4.1,135575,65M,10000+,Free,0.0,Teen,Casual,"October 26, 2021",9.3.8,7.0 and up
Cool Monitor 3,FINANCE,1.9,779393,36M,10000+,Free,0.0,Adults only 18+,Trivia,"August 12, 2021",3.6.6,4.0 and up
Awesome Monitor 8,TOOLS,1.6,312239,25M,10000000+,Paid,29.99,Adults only 18+,Puzzle,"July 08, 2021",8.9.3,6.0 and up
Super Cleaner 8,ENTERTAINMENT,3.7,558526,37M,1000000+,Free,0.0,Adults only 18+,Trivia,"December 09, 2021",3.2.4,4.0 and up
Best Wallet 7,ENTERTAINMENT,1.0,735046,1M,1000000+,Paid,0.0,Teen,Adventure,"May 13, 2021",1.9.2,9.0 and up
Perfect Assistant 2,FAMILY,1.7,969389,15M,10000+,Paid,0.0,Teen,Board,"May 11, 2021",6.2.4,5.0 and up
Fantastic Assistant 9,GAME,1.1,424881,37M,100000+,Paid,0.0,Everyone 10+,Simulation,"October 20, 2021",9.1.1,4.0 and up
Smart Messenger 9,SPORTS,1.7,567770,13M,100000+,Free,0.0,Everyone 10+,Casual,"September 21, 2021",6.5.7,7.0 and up
Easy Planner 6,PRODUCTIVITY,1.7,835879,8M,1000+,Free,49.99,Everyone,Action,"February 15, 2021",2.8.1,8.0 and up
Magic Scanner 4,EDUCATION,2.6,966930,5M,1000+,Free,0.0,Teen,Sports,"October 24, 2021",1.9.1,4.0 and up
Simple Recorder 2,EDUCATION,2.6,846153,60M,10000000+,Free,0.0,Teen,Adventure,"July 08, 2021",7.7.4,4.0 and up
Easy Player 6,DATING,4.5,137898,73M,10000+,Paid,29.99,Teen,Puzzle,"December 03, 2021",6.0.5,6.0 and up
Amazing Cleaner 4,BUSINESS,3.0,77185,1M,1000+,Free,29.99,Everyone 10+,Sports,"April 21, 2021",8.2.0,7.0 and up
Quick Camera 2,ENTERTAINMENT,3.9,588605,36M,1000+,Free,0.0,Adults only 18+,Racing,"June 01, 2021",4.0.7,9.0 and up
Super Player 9,BUSINESS,1.4,308887,35M,100000000+,Paid,0.0,Mature 17+,Casual,"April 11, 2021",5.0.7,8.0 and up
Magic Monitor 7,DATING,1.9,914644,66M,10000+,Paid,0.0,Everyone 10+,Simulation,"December 26, 2021",9.9.1,5.0 and up
Cool Cleaner 6,COMMUNICATION,3.8,95038,63M,10000000+,Paid,29.99,Teen,Racing,"May 23, 2021",9.7.6,4.0 and up
Cool Camera 8,BUSINESS,1.2,509676,23M,1000+,Paid,0.0,Everyone 10+,Casual,"May 16, 2021",3.1.6,9.0 and up
Amazing Monitor 9,TRAVEL_AND_LOCAL,2.9,142322,9M,10000000+,Free,29.99,Everyone,Casino,"January 27, 2021",5.5.3,8.0 and up
Cool Browser 1,MEDICAL,3.4,491460,34M,1000000+,Free,0.0,Teen,Arcade,"July 08, 2021",2.8.2,5.0 and up
Simple Wallet 2,GAME,3.4,92503,46M,10000000+,Paid,0.0,Everyone,Racing,"July 27, 2021",7.7.1,9.0 and up
Pro Scanner 1,GAME,1.1,125159,78M,100000+,Free,0.0,Teen,Arcade,"April 08, 2021",6.7.6,7.0 and up
Fantastic Editor 3,HEALTH_AND_FITNESS,2.3,753714,4M,100000+,Free,0.0,Everyone 10+,Adventure,"May 10, 2021",3.0.5,7.0 and up
Simple Scanner 8,NEWS_AND_MAGAZINES,3.5,202445,30M,10000000+,Free,0.0,Adults only 18+,Role Playing,"September 12, 2021",8.5.4,8.0 and up
Best Editor 1,TRAVEL_AND_LOCAL,1.6,163844,95M,100000+,Free,0.0,Mature 17+,Casino,"December 26, 2021",8.1.0,5.0 and up
Best Browser 8,NEWS_AND_MAGAZINES,3.8,270413,75M,1000000+,Paid,0.0,Everyone,Board,"May 16, 2021",1.3.5,7.0 and up
Fantastic Messenger 7,TOOLS,4.0,181221,99M,10000+,Free,19.99,Everyone 10+,Word,"January 09, 2021",9.0.0,8.0 and up
HD Player 8,PERSONALIZATION,4.9,915217,72M,100000+,Free,0.0,Adults only 18+,Card,"December 05, 2021",5.9.4,7.0 and up
Super Editor 4,FAMILY,1.8,277003,3M,100000+,Free,29.99,Everyone 10+,Arcade,"June 20, 2021",5.9.5,7.0 and up
Fantastic Tracker 4,EDUCATION,4.3,343922,14M,10000000+,Free,0.0,Everyone,Casino,"June 24, 2021",8.2.8,9.0 and up
Best Assistant 2,FINANCE,3.1,368262,60M,1000000+,Free,0.0,Mature 17+,Role Playing,"March 05, 2021",1.3.8,9.0 and up
Quick Messenger 5,PERSONALIZATION,2.5,876151,77M,10000+,Free,0.0,Everyone 10+,Simulation,"February 14, 2021",8.9.8,7.0 and up
Quick Planner 8,GAME,1.5,317023,45M,10000000+,Paid,0.0,Teen,Arcade,"February 13, 2021",1.8.2,6.0 and up
Super Calculator 9,PERSONALIZATION,3.9,913330,96M,10000000+,Free,49.99,Adults only 18+,Strategy,"July 10, 2021",9.0.0,9.0 and up
Ultimate Scanner 8,NEWS_AND_MAGAZINES,1.9,63105,34M,100000000+,Free,0.0,Everyone 10+,Trivia,"October 14, 2021",9.5.3,5.0 and up
Simple Browser 3,SOCIAL,2.5,117896,45M,1000000+,Free,0.0,Adults only 18+,Strategy,"November 10, 2021",7.4.9,8.0 and up
Fantastic Analyzer 5,PERSONALIZATION,1.3,857352,61M,10000+,Free,0.0,Teen,Word,"June 04, 2021",7.7.7,8.0 and up
Pro Monitor 3,SOCIAL,4.2,479936,83M,1000000+,Free,0.0,Mature 17+,Word,"May 01, 2021",1.7.5,5.0 and up
Premium Camera 2,PERSONALIZATION,4.1,285721,16M,10000+,Paid,0.0,Mature 17+,Educational,"July 24, 2021",4.7.2,5.0 and up
Pro Compass 5,SPORTS,3.9,35302,66M,1000000+,Free,4.99,Teen,Puzzle,"September 08, 2021",4.5.6,5.0 and up
Pro Assistant 1,MEDICAL,2.2,74823,40M,10000000+,Paid,4.99,Adults only 18+,Board,"May 19, 2021",4.3.6,5.0 and up
Simple Assistant 8,FAMILY,1.7,621434,17M,10000000+,Free,0.0,Everyone 10+,Trivia,"October 11, 2021",6.7.0,4.0 and up
Fantastic Manager 5,FINANCE,3.6,575929,34M,1000+,Free,0.0,Teen,Puzzle,"September 15, 2021",7.6.6,8.0 and up
Super Player 6,TRAVEL_AND_LOCAL,3.0,9895,16M,100000+,Free,0.0,Everyone,Simulation,"June 15, 2021",7.9.9,4.0 and up
Perfect Camera 8,MEDICAL,1.7,977173,60M,100000000+,Paid,0.0,Adults only 18+,Casual,"May 19, 2021",8.8.8,7.0 and up
Quick Analyzer 9,FINANCE,3.7,185388,66M,1000000+,Free,0.0,Mature 17+,Arcade,"June 19, 2021",2.6.6,7.0 and up
Pro Converter 9,HEALTH_AND_FITNESS,5.0,852756,66M,100000000+,Free,0.0,Teen,Casual,"October 12, 2021",4.8.7,8.0 and up
Ultimate Converter 7,FINANCE,4.0,327241,90M,1000+,Free,0.0,Mature 17+,Strategy,"June 04, 2021",1.1.1,7.0 and up
Super Browser 5,FAMILY,4.0,422391,13M,100000+,Free,0.0,Adults only 18+,Action,"February 16, 2021",8.0.3,5.0 and up
Easy Planner 3,EDUCATION,4.8,976443,56M,1000000+,Free,0.0,Mature 17+,Arcade,"August 04, 2021",5.8.6,4.0 and up
Perfect Manager 2,SOCIAL,1.8,460254,31M,10000+,Free,0.0,Teen,Casino,"September 23, 2021",8.8.6,5.0 and up
Best Analyzer 4,PERSONALIZATION,3.3,882440,34M,100000+,Free,0.0,Adults only 18+,Board,"December 02, 2021",5.4.9,7.0 and up
Easy Tracker 2,HEALTH_AND_FITNESS,4.9,574110,39M,10000000+,Free,0.0,Everyone,Casual,"April 05, 2021",6.4.8,9.0 and up
Best Cleaner 7,SOCIAL,1.7,705870,67M,1000+,Free,9.99,Teen,Strategy,"March 09, 2021",3.2.6,4.0 and up
Super Wallet 8,SPORTS,3.8,472377,8M,100000+,Paid,0.0,Everyone 10+,Arcade,"May 18, 2021",7.5.2,5.0 and up
Fantastic Monitor 2,GAME,3.3,320797,87M,100000+,Paid,0.0,Teen,Action,"November 03, 2021",7.4.6,8.0 and up
Fantastic Player 8,LIFESTYLE,3.3,44910,78M,10000000+,Paid,0.0,Adults only 18+,Puzzle,"September 23, 2021",2.5.7,5.0 and up
Simple Monitor 7,ENTERTAINMENT,3.8,436172,55M,1000000+,Free,19.99,Teen,Word,"February 09, 2021",1.3.0,9.0 and up
HD Assistant 4,GAME,4.7,401077,27M,10000+,Free,0.0,Everyone,Trivia,"April 09, 2021",1.9.7,7.0 and up
Ultimate Recorder 2,COMMUNICATION,4.1,802730,93M,10000000+,Free,0.0,Everyone,Casino,"February 15, 2021",7.9.0,4.0 and up
Super Translator 2,LIFESTYLE,1.2,72702,53M,10000+,Free,0.0,Everyone 10+,Educational,"December 10, 2021",2.3.0,8.0 and up
Easy Tracker 2,ENTERTAINMENT,4.4,460806,39M,1000000+,Free,2.99,Mature 17+,Arcade,"December 20, 2021",3.7.7,4.0 and up
Premium Recorder 2,HEALTH_AND_FITNESS,1.9,400594,65M,100000+,Free,0.99,Adults only 18+,Educational,"May 02, 2021",8.5.5,8.0 and up
Perfect Tracker 7,GAME,2.5,871878,17M,10000+,Free,0.0,Adults only 18+,Adventure,"October 01, 2021",5.8.3,4.0 and up
Premium Notes 1,DATING,2.8,751506,30M,1000+,Free,29.99,Mature 17+,Simulation,"July 26, 2021",7.0.8,7.0 and up
Ultimate Monitor 9,DATING,2.9,46413,53M,1000+,Paid,9.99,Everyone,Word,"January 16, 2021",7.9.8,8.0 and up
Perfect Monitor 9,PHOTOGRAPHY,2.7,615468,13M,10000000+,Free,0.99,Everyone,Board,"November 27, 2021",7.1.5,6.0 and up
Simple Browser 4,COMMUNICATION,4.7,795610,21M,1000000+,Free,0.0,Teen,Arcade,"August 03, 2021",4.2.1,4.0 and up
Cool Calculator 1,FINANCE,3.8,312033,19M,10000000+,Free,0.0,Everyone 10+,Racing,"October 22, 2021",6.7.5,4.0 and up
Fantastic Recorder 8,SPORTS,3.5,59881,53M,10000000+,Free,0.0,Everyone 10+,Action,"July 26, 2021",9.4.1,5.0 and up
Premium Analyzer 4,PHOTOGRAPHY,1.2,482614,19M,100000000+,Free,49.99,Everyone 10+,Trivia,"January 06, 2021",8.8.9,8.0 and up
Amazing Player 9,BUSINESS,4.6,491872,57M,10000000+,Paid,0.0,Teen,Sports,"July 22, 2021",4.5.9,9.0 and up
Perfect Calculator 5,TRAVEL_AND_LOCAL,4.6,32184,25M,100000000+,Paid,0.0,Everyone 10+,Sports,"April 17, 2021",8.8.4,6.0 and up
Premium Converter 9,TRAVEL_AND_LOCAL,4.1,755121,86M,1000+,Free,0.0,Mature 17+,Casual,"November 09, 2021",6.3.4,7.0 and up
HD Assistant 9,PRODUCTIVITY,1.0,223573,31M,1000+,Paid,4.99,Teen,Role Playing,"April 07, 2021",7.8.9,5.0 and up
Smart Editor 5,FAMILY,1.2,137663,81M,10000000+,Paid,9.99,Mature 17+,Racing,"July 02, 2021",6.5.7,6.0 and up
Ultimate Player 6,TRAVEL_AND_LOCAL,1.9,110165,55M,1000+,Paid,0.0,Teen,Adventure,"January 24, 2021",4.2.6,8.0 and up
Easy Wallet 8,PERSONALIZATION,1.5,334007,23M,1000000+,Paid,49.99,Everyone 10+,Board,"August 23, 2021",5.1.1,6.0 and up
Best Recorder 2,PHOTOGRAPHY,2.6,850488,32M,100000000+,Free,0.0,Mature 17+,Puzzle,"August 16, 2021",6.7.0,4.0 and up
Quick Browser 4,BUSINESS,4.7,311832,62M,100000000+,Free,9.99,Mature 17+,Casino,"March 11, 2021",6.1.1,4.0 and up
Awesome Manager 4,NEWS_AND_MAGAZINES,2.9,501618,74M,10000000+,Free,0.0,Mature 17+,Educational,"February 23, 2021",7.9.0,5.0 and up
Ultimate Compass 2,FAMILY,1.1,813091,10M,1000+,Free,0.0,Teen,Adventure,"August 17, 2021",6.6.7,8.0 and up
Quick Planner 1,FINANCE,2.1,127805,72M,10000+,Paid,1.99,Adults only 18+,Casual,"December 26, 2021",7.5.8,8.0 and up
Simple Tracker 8,COMMUNICATION,1.2,88678,54M,100000000+,Free,0.0,Everyone 10+,Casino,"September 15, 2021",3.5.3,6.0 and up
Magic Player 5,TOOLS,1.1,737695,52M,10000000+,Paid,49.99,Mature 17+,Sports,"November 04, 2021",2.0.0,5.0 and up
Magic Converter 7,FAMILY,2.1,669937,20M,10000000+,Paid,0.0,Adults only 18+,Strategy,"December 04, 2021",3.3.1,8.0 and up
Super Planner 3,NEWS_AND_MAGAZINES,2.1,473630,32M,1000000+,Paid,0.0,Everyone 10+,Puzzle,"March 22, 2021",1.3.6,9.0 and up
Awesome Assistant 3,TOOLS,4.1,876348,14M,100000+,Paid,0.0,Everyone 10+,Casual,"January 22, 2021",6.5.8,9.0 and up
Amazing Analyzer 1,ENTERTAINMENT,4.9,763439,50M,100000+,Free,0.0,Mature 17+,Action,"February 25, 2021",2.3.4,4.0 and up
Smart Tracker 3,COMMUNICATION,2.5,620317,28M,100000000+,Free,0.0,Mature 17+,Strategy,"February 23, 2021",1.7.7,6.0 and up
Magic Recorder 8,MEDICAL,2.7,979458,53M,1000000+,Free,0.0,Teen,Educational,"December 17, 2021",6.4.7,7.0 and up
Ultimate Converter 9,ENTERTAINMENT,4.4,864444,24M,1000000+,Free,0.0,Adults only 18+,Role Playing,"December 23, 2021",3.2.1,4.0 and up
Quick Editor 5,SPORTS,2.1,553101,79M,1000000+,Free,0.0,Adults only 18+,Racing,"May 24, 2021",5.2.2,5.0 and up
Amazing Scanner 9,NEWS_AND_MAGAZINES,1.6,673600,22M,100000000+,Free,4.99,Mature 17+,Trivia,"April 12, 2021",6.7.1,8.0 and up
Smart Tracker 9,FINANCE,4.4,673232,30M,100000+,Paid,4.99,Everyone 10+,Arcade,"October 23, 2021",4.6.0,4.0 and up
